NAME                                                          VERSION                             TYPE                        
adduser                                                       3.152                               deb                         
apt                                                           3.0.3                               deb                         
autoconf                                                      2.72-3.1                            deb                         
automake                                                      1:1.17-4                            deb                         
autotools-dev                                                 20240727.1                          deb                         
base-files                                                    13.8+deb13u2                        deb                         
base-passwd                                                   3.6.7                               deb                         
bash                                                          5.2.37-2+b5                         deb                         
binutils                                                      2.44-3                              deb                         
binutils-common                                               2.44-3                              deb                         
binutils-x86-64-linux-gnu                                     2.44-3                              deb                         
bison                                                         2:3.8.2+dfsg-1+b2                   deb                         
bsdutils                                                      1:2.41-5                            deb                         
ca-certificates                                               20250419                            deb                         
cmd/asm                                                       UNKNOWN                             go-module                   
cmd/cgo                                                       UNKNOWN                             go-module                   
cmd/compile                                                   UNKNOWN                             go-module                   
cmd/cover                                                     UNKNOWN                             go-module                   
cmd/go                                                        UNKNOWN                             go-module                   
cmd/gofmt                                                     UNKNOWN                             go-module                   
cmd/link                                                      UNKNOWN                             go-module                   
cmd/preprofile                                                UNKNOWN                             go-module                   
cmd/vet                                                       UNKNOWN                             go-module                   
coreutils                                                     9.7-3                               deb                         
cpp                                                           4:14.2.0-1                          deb                         
cpp-14                                                        14.2.0-19                           deb                         
cpp-14-x86-64-linux-gnu                                       14.2.0-19                           deb                         
cpp-x86-64-linux-gnu                                          4:14.2.0-1                          deb                         
csh                                                           20240808-2                          deb                         
curl                                                          8.14.1-2+deb13u2                    deb                         
dario.cat/mergo                                               v1.0.2                              go-module                   
dash                                                          0.5.12-12                           deb                         
debconf                                                       1.5.91                              deb                         
debian-archive-keyring                                        2025.1                              deb                         
debianutils                                                   5.23.2                              deb                         
diffutils                                                     1:3.10-4                            deb                         
dirmngr                                                       2.4.7-21+b3                         deb                         
dpkg                                                          1.22.21                             deb                         
file                                                          1:5.46-5                            deb                         
findutils                                                     4.10.0-3                            deb                         
flex                                                          2.6.4-8.2+b4                        deb                         
g++                                                           4:14.2.0-1                          deb                         
g++-14                                                        14.2.0-19                           deb                         
g++-14-x86-64-linux-gnu                                       14.2.0-19                           deb                         
g++-x86-64-linux-gnu                                          4:14.2.0-1                          deb                         
gawk                                                          1:5.2.1-2+b1                        deb                         
gcc                                                           4:14.2.0-1                          deb                         
gcc-14                                                        14.2.0-19                           deb                         
gcc-14-base                                                   14.2.0-19                           deb                         
gcc-14-x86-64-linux-gnu                                       14.2.0-19                           deb                         
gcc-x86-64-linux-gnu                                          4:14.2.0-1                          deb                         
git                                                           1:2.47.3-0+deb13u1                  deb                         
git-man                                                       1:2.47.3-0+deb13u1                  deb                         
github.com/AustralianCyberSecurityCentre/azul-bedrock/v9      v9.0.28                             go-module                   
github.com/AustralianCyberSecurityCentre/azul-dispatcher.git  UNKNOWN                             go-module                   
github.com/Azure/azure-sdk-for-go/sdk/azcore                  v1.19.0                             go-module                   
github.com/Azure/azure-sdk-for-go/sdk/azidentity              v1.11.0                             go-module                   
github.com/Azure/azure-sdk-for-go/sdk/internal                v1.11.2                             go-module                   
github.com/Azure/azure-sdk-for-go/sdk/storage/azblob          v1.6.2                              go-module                   
github.com/AzureAD/microsoft-authentication-library-for-go    v1.5.0                              go-module                   
github.com/IBM/sarama                                         v1.46.0                             go-module                   
github.com/allegro/bigcache/v3                                v3.1.0                              go-module                   
github.com/beorn7/perks                                       v1.0.1                              go-module                   
github.com/cespare/xxhash/v2                                  v2.3.0                              go-module                   
github.com/davecgh/go-spew                                    v1.1.1                              go-module                   
github.com/deathowl/go-metrics-prometheus                     v0.0.0-20221009205350-f2a1482ba35b  go-module                   
github.com/dgryski/go-rendezvous                              v0.0.0-20200823014737-9f7001d12a5f  go-module                   
github.com/dustin/go-humanize                                 v1.0.1                              go-module                   
github.com/dutchcoders/gossdeep                               v0.0.0-20201120073358-963140ea83a4  go-module                   
github.com/eapache/go-resiliency                              v1.7.0                              go-module                   
github.com/eapache/go-xerial-snappy                           v0.0.0-20230731223053-c322873962e3  go-module                   
github.com/eapache/queue                                      v1.1.0                              go-module                   
github.com/eko/gocache/lib/v4                                 v4.2.1                              go-module                   
github.com/eko/gocache/store/bigcache/v4                      v4.1.2                              go-module                   
github.com/fatih/structs                                      v1.1.0                              go-module                   
github.com/gabriel-vasile/mimetype                            v1.4.10                             go-module                   
github.com/gin-contrib/pprof                                  v1.5.3                              go-module                   
github.com/gin-contrib/sse                                    v1.1.0                              go-module                   
github.com/gin-gonic/gin                                      v1.10.1                             go-module                   
github.com/glaslos/tlsh                                       v0.4.0                              go-module                   
github.com/go-ini/ini                                         v1.67.0                             go-module                   
github.com/go-playground/locales                              v0.14.1                             go-module                   
github.com/go-playground/universal-translator                 v0.18.1                             go-module                   
github.com/go-playground/validator/v10                        v10.27.0                            go-module                   
github.com/go-viper/mapstructure/v2                           v2.4.0                              go-module                   
github.com/goccy/go-json                                      v0.10.5                             go-module                   
github.com/golang-jwt/jwt/v5                                  v5.3.0                              go-module                   
github.com/golang/mock                                        v1.6.0                              go-module                   
github.com/golang/snappy                                      v1.0.0                              go-module                   
github.com/google/uuid                                        v1.6.0                              go-module                   
github.com/hamba/avro/v2                                      v2.30.0                             go-module                   
github.com/hashicorp/go-uuid                                  v1.0.3                              go-module                   
github.com/hillu/go-yara/v4                                   v4.3.4                              go-module                   
github.com/jcmturner/aescts/v2                                v2.0.0                              go-module                   
github.com/jcmturner/dnsutils/v2                              v2.0.0                              go-module                   
github.com/jcmturner/gofork                                   v1.7.6                              go-module                   
github.com/jcmturner/gokrb5/v8                                v8.4.4                              go-module                   
github.com/jcmturner/rpc/v2                                   v2.0.3                              go-module                   
github.com/json-iterator/go                                   v1.1.12                             go-module                   
github.com/klauspost/compress                                 v1.18.0                             go-module                   
github.com/klauspost/cpuid/v2                                 v2.3.0                              go-module                   
github.com/klauspost/crc32                                    v1.3.0                              go-module                   
github.com/knadh/koanf/maps                                   v0.1.2                              go-module                   
github.com/knadh/koanf/providers/env                          v1.1.0                              go-module                   
github.com/knadh/koanf/providers/structs                      v1.0.0                              go-module                   
github.com/knadh/koanf/v2                                     v2.2.2                              go-module                   
github.com/kylelemons/godebug                                 v1.1.0                              go-module                   
github.com/leodido/go-urn                                     v1.4.0                              go-module                   
github.com/mattn/go-colorable                                 v0.1.14                             go-module                   
github.com/mattn/go-isatty                                    v0.0.20                             go-module                   
github.com/minio/crc64nvme                                    v1.1.1                              go-module                   
github.com/minio/md5-simd                                     v1.1.2                              go-module                   
github.com/minio/minio-go/v7                                  v7.0.97                             go-module                   
github.com/mitchellh/copystructure                            v1.2.0                              go-module                   
github.com/mitchellh/reflectwalk                              v1.0.2                              go-module                   
github.com/modern-go/concurrent                               v0.0.0-20180306012644-bacd9c7ef1dd  go-module                   
github.com/modern-go/reflect2                                 v1.0.2                              go-module                   
github.com/munnerz/goautoneg                                  v0.0.0-20191010083416-a7dc8b61c822  go-module                   
github.com/pelletier/go-toml/v2                               v2.2.4                              go-module                   
github.com/philhofer/fwd                                      v1.2.0                              go-module                   
github.com/pierrec/lz4/v4                                     v4.1.22                             go-module                   
github.com/pkg/browser                                        v0.0.0-20240102092130-5ac0b6a4141c  go-module                   
github.com/pkg/errors                                         v0.9.1                              go-module                   
github.com/pmezard/go-difflib                                 v1.0.0                              go-module                   
github.com/prometheus/client_golang                           v1.23.2                             go-module                   
github.com/prometheus/client_model                            v0.6.2                              go-module                   
github.com/prometheus/common                                  v0.66.1                             go-module                   
github.com/prometheus/procfs                                  v0.17.0                             go-module                   
github.com/rakyll/magicmime                                   v0.1.0                              go-module                   
github.com/rcrowley/go-metrics                                v0.0.0-20250401214520-65e299d6c5c9  go-module                   
github.com/redis/go-redis/v9                                  v9.13.0                             go-module                   
github.com/rs/xid                                             v1.6.0                              go-module                   
github.com/rs/zerolog                                         v1.34.0                             go-module                   
github.com/spf13/cobra                                        v1.10.1                             go-module                   
github.com/spf13/pflag                                        v1.0.10                             go-module                   
github.com/stretchr/objx                                      v0.5.2                              go-module                   
github.com/stretchr/testify                                   v1.11.1                             go-module                   
github.com/tidwall/gjson                                      v1.18.0                             go-module                   
github.com/tidwall/match                                      v1.2.0                              go-module                   
github.com/tidwall/pretty                                     v1.2.1                              go-module                   
github.com/tinylib/msgp                                       v1.4.0                              go-module                   
github.com/ugorji/go/codec                                    v1.3.0                              go-module                   
gnupg                                                         2.4.7-21                            deb                         
gnupg-l10n                                                    2.4.7-21                            deb                         
go                                                            1.25.5                              binary                      
go.uber.org/automaxprocs                                      v1.6.0                              go-module                   
go.uber.org/mock                                              v0.6.0                              go-module                   
go.yaml.in/yaml/v2                                            v2.4.2                              go-module                   
golang.org/x/crypto                                           v0.45.0                             go-module                   
golang.org/x/exp                                              v0.0.0-20250819193227-8b4c13bb791b  go-module                   
