NAME                     VERSION                      TYPE                     
Simple Launcher          1.1.0.14                     binary  (+5 duplicates)  
adduser                  3.152                        deb                      
aiohappyeyeballs         2.6.1                        python                   
aiohttp                  3.13.2                       python                   
aiosignal                1.4.0                        python                   
annotated-doc            0.0.4                        python                   
annotated-types          0.7.0                        python                   
anyio                    4.11.0                       python                   
apt                      3.0.3                        deb                      
argon2-cffi              25.1.0                       python                   
argon2-cffi-bindings     25.1.0                       python                   
asyncache                0.3.1                        python                   
attrs                    25.4.0                       python                   
authlib                  1.6.5                        python                   
autocommand              2.2.2                        python                   
azul-bedrock             9.0.15                       python                   
azul-client              9.0.5                        python                   
azul-stats               9.0.7+gdb00cc506.d20251122   python                   
azure-core               1.36.0                       python                   
azure-identity           1.25.1                       python                   
azure-storage-blob       12.27.1                      python                   
backports-tarfile        1.2.0                        python                   
base-files               13.8+deb13u2                 deb                      
base-passwd              3.6.7                        deb                      
bash                     5.2.37-2+b5                  deb                      
bsdutils                 1:2.41-5                     deb                      
build                    1.3.0                        python                   
ca-certificates          20250419                     deb                      
cachetools               5.5.2                        python                   
cart                     1.2.3                        python                   
certifi                  2025.11.12                   python                   
cffi                     2.0.0                        python                   
charset-normalizer       3.4.4                        python                   
cli                      UNKNOWN                      binary                   
cli-32                   UNKNOWN                      binary                   
cli-64                   UNKNOWN                      binary                   
cli-arm64                UNKNOWN                      binary                   
click                    8.3.1                        python                   
coreutils                9.7-3                        deb                      
cramjam                  2.11.0                       python                   
cryptography             46.0.3                       python                   
dash                     0.5.12-12                    deb                      
debconf                  1.5.91                       deb                      
debian-archive-keyring   2025.1                       deb                      
debianutils              5.23.2                       deb                      
diffutils                1:3.10-4                     deb                      
dpkg                     1.22.21                      deb                      
events                   0.5                          python                   
fastapi                  0.121.3                      python                   
findutils                4.10.0-3                     deb                      
frozenlist               1.8.0                        python                   
gcc-14-base              14.2.0-19                    deb                      
grep                     3.11-4                       deb                      
grpcio                   1.76.0                       python                   
gui                      UNKNOWN                      binary                   
gui-32                   UNKNOWN                      binary                   
gui-64                   UNKNOWN                      binary                   
gui-arm64                UNKNOWN                      binary                   
gzip                     1.13-1                       deb                      
h11                      0.16.0                       python                   
hostname                 3.25                         deb                      
httpcore                 1.0.9                        python                   
httpx                    0.28.1                       python                   
idna                     3.11                         python                   
importlib-metadata       8.0.0                        python                   
inflect                  7.3.1                        python                   
init-system-helpers      1.69~deb13u1                 deb                      
isodate                  0.7.2                        python                   
jaraco-collections       5.1.0                        python                   
jaraco-context           5.3.0                        python                   
jaraco-functools         4.0.1                        python                   
jaraco-text              3.12.1                       python                   
kafka-python-ng          2.2.3                        python                   
libacl1                  2.3.2-2+b1                   deb                      
libapt-pkg7.0            3.0.3                        deb                      
libattr1                 1:2.5.2-3                    deb                      
libaudit-common          1:4.0.2-2                    deb                      
libaudit1                1:4.0.2-2+b2                 deb                      
libblkid1                2.41-5                       deb                      
libbsd0                  0.12.2-2                     deb                      
