NAME                                VERSION                             TYPE                        
Simple Launcher                     1.1.0.14                            binary     (+5 duplicates)  
adduser                             3.152                               deb                         
alembic                             1.17.2                              python                      
androguard                          4.1.3                               python                      
annotated-doc                       0.0.4                               python                      
annotated-types                     0.7.0                               python                      
anyio                               4.12.0                              python                      
apkinspector                        1.3.6                               python                      
apt                                 3.0.3                               deb                         
asn1crypto                          1.5.1                               python                      
asttokens                           3.0.1                               python                      
autocommand                         2.2.2                               python                      
azul-bedrock                        9.0.28                              python                      
azul-plugin-android-parser          9.0.24+g65ff2dc8e.d20251215         python                      
azul-runner                         9.0.31                              python                      
backports-tarfile                   1.2.0                               python                      
banal                               1.0.6                               python                      
base-files                          13.8+deb13u2                        deb                         
base-passwd                         3.6.7                               deb                         
bash                                5.2.37-2+b5                         deb                         
bitarray                            3.8.0                               python                      
bsdutils                            1:2.41-5                            deb                         
build                               1.3.0                               python                      
ca-certificates                     20250419                            deb                         
cachetools                          6.2.4                               python                      
cart                                1.2.3                               python                      
certifi                             2025.11.12                          python                      
cffi                                2.0.0                               python                      
cli                                 UNKNOWN                             binary                      
cli-32                              UNKNOWN                             binary                      
cli-64                              UNKNOWN                             binary                      
cli-arm64                           UNKNOWN                             binary                      
click                               8.3.1                               python                      
colorama                            0.4.6                               python                      
command-line-arguments              UNKNOWN                             go-module                   
contourpy                           1.3.3                               python                      
coreutils                           9.7-3                               deb                         
cryptography                        46.0.3                              python                      
cycler                              0.12.1                              python                      
dash                                0.5.12-12                           deb                         
dataset                             1.6.2                               python                      
debconf                             1.5.91                              deb                         
debian-archive-keyring              2025.1                              deb                         
debianutils                         5.23.2                              deb                         
decorator                           5.2.1                               python                      
diffutils                           1:3.10-4                            deb                         
dpkg                                1.22.21                             deb                         
executing                           2.2.1                               python                      
fastapi                             0.124.4                             python                      
findutils                           4.10.0-3                            deb                         
fonttools                           4.61.1                              python                      
frida                               17.5.2                              python                      
gcc-14-base                         14.2.0-19                           deb                         
github.com/dlclark/regexp2          v1.11.5                             go-module                   
github.com/evanw/esbuild            v0.25.5                             go-module                   
github.com/frida/typescript-go      v0.0.0-20250601212135-a4721f45f19c  go-module                   
github.com/go-json-experiment/json  v0.0.0-20250517221953-25912455fbc8  go-module                   
golang.org/x/sys                    v0.33.0                             go-module                   
greenlet                            3.3.0                               python                      
grep                                3.11-4                              deb                         
gui                                 UNKNOWN                             binary                      
gui-32                              UNKNOWN                             binary                      
gui-64                              UNKNOWN                             binary                      
gui-arm64                           UNKNOWN                             binary                      
gzip                                1.13-1                              deb                         
h11                                 0.16.0                              python                      
hostname                            3.25                                deb                         
httpcore                            1.0.9                               python                      
httpx                               0.28.1                              python                      
idna                                3.11                                python                      
importlib-metadata                  8.0.0                               python                      
inflect                             7.3.1                               python                      
init-system-helpers                 1.69~deb13u1                        deb                         
ipython                             9.8.0                               python                      
ipython-pygments-lexers             1.1.1                               python                      
jaraco-collections                  5.1.0                               python                      
jaraco-context                      5.3.0                               python                      
