NAME                              VERSION                               TYPE                           
AARCH64                           12.0                                  java-archive                   
ARM                               12.0                                  java-archive                   
AXMLPrinter2                      UNKNOWN                               java-archive                   
AnnotationValidator               12.0                                  java-archive                   
AppleJavaExtensions               UNKNOWN                               java-archive                   
Atmel                             12.0                                  java-archive                   
BSim                              12.0                                  java-archive                   
BSimElasticPlugin                 12.0                                  java-archive                   
BSimFeatureVisualizer             12.0                                  java-archive                   
Base                              12.0                                  java-archive                   
BytePatterns                      12.0                                  java-archive                   
ByteViewer                        12.0                                  java-archive                   
CodeCompare                       12.0                                  java-archive                   
DATA                              12.0                                  java-archive                   
DB                                12.0                                  java-archive                   
DMG                               12.0                                  java-archive                   
Dalvik                            12.0                                  java-archive                   
DataGraph                         12.0                                  java-archive                   
DebugUtils                        12.0                                  java-archive                   
Debugger                          12.0                                  java-archive                   
Debugger-agent-dbgeng             12.0                                  java-archive                   
Debugger-agent-drgn               12.0                                  java-archive                   
Debugger-agent-gdb                12.0                                  java-archive                   
Debugger-agent-lldb               12.0                                  java-archive                   
Debugger-api                      12.0                                  java-archive                   
Debugger-isf                      12.0                                  java-archive                   
Debugger-jpda                     12.0                                  java-archive                   
Debugger-rmi-trace                12.0                                  java-archive                   
Decompiler                        12.0                                  java-archive                   
DecompilerDependent               12.0                                  java-archive                   
Docking                           12.0                                  java-archive                   
Emulation                         12.0                                  java-archive                   
FileFormats                       12.0                                  java-archive                   
FileSystem                        12.0                                  java-archive                   
Framework-TraceModeling           12.0                                  java-archive                   
FunctionGraph                     12.0                                  java-archive                   
FunctionGraphDecompilerExtension  12.0                                  java-archive                   
FunctionID                        12.0                                  java-archive                   
Generic                           12.0                                  java-archive                   
GhidraGo                          12.0                                  java-archive                   
GhidraServer                      12.0                                  java-archive                   
GnuDemangler                      12.0                                  java-archive                   
Graph                             12.0                                  java-archive                   
GraphFunctionCalls                12.0                                  java-archive                   
GraphServices                     12.0                                  java-archive                   
Gui                               12.0                                  java-archive                   
HCS12                             12.0                                  java-archive                   
Help                              12.0                                  java-archive                   
JVM                               12.0                                  java-archive                   
Jython                            12.0                                  java-archive                   
LaunchSupport                     11.3                                  java-archive                   
LaunchSupport                     12.0                                  java-archive                   
Loongarch                         12.0                                  java-archive                   
MIPS                              12.0                                  java-archive                   
MachineLearning                   12.0                                  java-archive                   
MicrosoftCodeAnalyzer             12.0                                  java-archive                   
MicrosoftDemangler                12.0                                  java-archive                   
MicrosoftDmang                    12.0                                  java-archive                   
NDS32                             12.0                                  java-archive                   
PA-RISC                           12.0                                  java-archive                   
PDB                               12.0                                  java-archive                   
PIC                               12.0                                  java-archive                   
PowerPC                           12.0                                  java-archive                   
ProgramDiff                       12.0                                  java-archive                   
ProgramGraph                      12.0                                  java-archive                   
Project                           12.0                                  java-archive                   
ProposedUtils                     12.0                                  java-archive                   
Pty                               12.0                                  java-archive                   
Public_Release                    12.0                                  java-archive                   
PyGhidra                          12.0                                  java-archive                   
RISCV                             12.0                                  java-archive                   
Recognizers                       12.0                                  java-archive                   
SampleTablePlugin                 12.0                                  java-archive                   
Sarif                             12.0                                  java-archive                   
Simple Launcher                   1.1.0.14                              binary        (+5 duplicates)  
SleighDevTools                    12.0                                  java-archive                   
SoftwareModeling                  12.0                                  java-archive                   
SourceCodeLookup                  12.0                                  java-archive                   
Sparc                             12.0                                  java-archive                   
SuperH4                           12.0                                  java-archive                   
SwiftDemangler                    12.0                                  java-archive                   
SymbolicSummaryZ3                 12.0                                  java-archive                   
SystemEmulation                   12.0                                  java-archive                   
TI_MSP430                         12.0                                  java-archive                   
TaintAnalysis                     12.0                                  java-archive                   
Utility                           11.3                                  java-archive                   
Utility                           12.0                                  java-archive                   
V850                              12.0                                  java-archive                   
VersionTracking                   12.0                                  java-archive                   
VersionTrackingBSim               12.0                                  java-archive                   
WallaceSrc                        UNKNOWN                               binary                         
WallaceVersion2                   UNKNOWN                               binary                         
WildcardAssembler                 12.0                                  java-archive                   
WinHelloCPP                       UNKNOWN                               binary                         
Xtensa                            12.0                                  java-archive                   
adduser                           3.152                                 deb                            
adwaita-icon-theme                48.1-1                                deb                            
ahessian                          UNKNOWN                               java-archive                   
annotated-doc                     0.0.4                                 python                         
annotated-types                   0.7.0                                 python                         
antlr-runtime                     3.5.2                                 java-archive                   
antlr-runtime                     3.5.3                                 java-archive                   
anyio                             4.12.0                                python                         
apache-ant                        1.7.0-bzip2                           java-archive                   
apt                               3.0.3                                 deb                            
asm                               9.7.1                                 java-archive                   
asm-analysis                      9.7.1                                 java-archive                   
asm-commons                       9.7.1                                 java-archive                   
asm-tree                          9.7.1                                 java-archive                   
asm-util                          9.7.1                                 java-archive                   
at-spi2-common                    2.56.2-1                              deb                            
autocommand                       2.2.2                                 python                         
automaton                         1.11                                  java-archive                   
azul-bedrock                      9.0.28                                python                         
azul-plugin-ghidra                9.0.28+g71850552a.d20251215           python                         
azul-runner                       9.0.31                                python                         
backports-tarfile                 1.2.0                                 python                         
baksmali                          2.5.2                                 java-archive                   
base-files                        13.8+deb13u2                          deb                            
base-passwd                       3.6.7                                 deb                            
bash                              5.2.37-2+b5                           deb                            
bcpkix-jdk18on                    1.80                                  java-archive                   
bcprov-jdk18on                    1.80                                  java-archive                   
bcutil-jdk18on                    1.80                                  java-archive                   
bitarray                          3.8.0                                 python                         
biz.aQute.bnd.util                7.0.0                                 java-archive                   
biz.aQute.bndlib                  7.0.0                                 java-archive                   
bsdutils                          1:2.41-5                              deb                            
build                             1.3.0                                 python                         
ca-certificates                   20250419                              deb                            
ca-certificates-java              20240118                              deb                            
ca-certificates-java              UNKNOWN                               java-archive                   
cachetools                        6.2.4                                 python                         
cart                              1.2.3                                 python                         
certifi                           2025.11.12                            python                         
cli                               UNKNOWN                               binary                         
cli-32                            UNKNOWN                               binary                         
cli-64                            UNKNOWN                               binary                         
cli-arm64                         UNKNOWN                               binary                         
collate                           75.1                                  java-archive                   
commons-beanutils                 1.9.4                                 java-archive                   
commons-cli                       1.5.0                                 java-archive                   
commons-codec                     1.15                                  java-archive                   
commons-codec                     1.18.0                                java-archive                   
commons-collections               3.2.2                                 java-archive                   
commons-collections4              4.1                                   java-archive                   
commons-compress                  1.26.2                                java-archive                   
commons-compress                  1.27.1                                java-archive                   
commons-configuration2            2.10.1                                java-archive                   
commons-dbcp2                     2.9.0                                 java-archive                   
commons-io                        2.11.0                                java-archive                   
commons-io                        2.16.1                                java-archive                   
commons-io                        2.19.0                                java-archive                   
commons-io                        2.8.0                                 java-archive                   
commons-lang                      2.6                                   java-archive                   
commons-lang3                     3.12.0                                java-archive                   
commons-lang3                     3.17.0                                java-archive                   
commons-logging                   1.2                                   java-archive  (+1 duplicate)   
commons-net                       3.2                                   java-archive                   
commons-pool2                     2.11.1                                java-archive                   
commons-text                      1.10.0                                java-archive  (+1 duplicate)   
commons-vfs2                      2.9.0                                 java-archive                   
core                              75.1                                  java-archive                   
coreutils                         9.7-3                                 deb                            
csframework                       UNKNOWN                               java-archive  (+1 duplicate)   
currdata                          75.1                                  java-archive                   
dash                              0.5.12-12                             deb                            
dbus                              1.16.2-2                              deb                            
dbus-bin                          1.16.2-2                              deb                            
dbus-daemon                       1.16.2-2                              deb                            
dbus-session-bus-common           1.16.2-2                              deb                            
dbus-system-bus-common            1.16.2-2                              deb                            
dbus-user-session                 1.16.2-2                              deb                            
dconf-gsettings-backend           0.40.0-5                              deb                            
dconf-service                     0.40.0-5                              deb                            
debconf                           1.5.91                                deb                            
debian-archive-keyring            2025.1                                deb                            
debianutils                       5.23.2                                deb                            
decompile                         UNKNOWN                               binary                         
demangler_gnu_v2_24               UNKNOWN                               binary                         
demangler_gnu_v2_41               UNKNOWN                               binary                         
dex-ir                            2.4.24                                java-archive                   
dex-reader                        2.4.24                                java-archive                   
dex-reader-api                    2.4.24                                java-archive                   
dex-translator                    2.4.24                                java-archive                   
dexlib2                           2.5.2                                 java-archive                   
diffutils                         1:3.10-4                              deb                            
dpkg                              1.22.21                               deb                            
dropbox-core-sdk                  1.7.7                                 java-archive                   
eBPF                              12.0                                  java-archive                   
failureaccess                     1.0.1                                 java-archive  (+1 duplicate)   
fastapi                           0.124.4                               python                         
findutils                         4.10.0-3                              deb                            
flatlaf                           3.5.4                                 java-archive                   
fontconfig                        2.15.0-2.3                            deb                            
fontconfig-config                 2.15.0-2.3                            deb                            
fonts-dejavu-core                 2.37-8                                deb                            
fonts-dejavu-mono                 2.37-8                                deb                            
forms                             1.2.0                                 java-archive                   
formsrt                           UNKNOWN                               java-archive                   
gcc-14-base                       14.2.0-19                             deb                            
ghidra-stubs                      12.0                                  python                         
ghidradev                         5.0.1.202507170854                    java-archive                   
glazedlists                       1.10.0_java16                         java-archive                   
gradle-wrapper                    UNKNOWN                               java-archive                   
grep                              3.11-4                                deb                            
groovy                            4.0.12                                java-archive                   
groovy-patch                      UNKNOWN                               java-archive                   
groovy-patch9                     UNKNOWN                               java-archive                   
gson                              2.9.0                                 java-archive                   
gtk-update-icon-cache             4.18.6+ds-2                           deb                            
guava                             32.1.3-jre                            java-archive                   
gui                               UNKNOWN                               binary                         
gui-32                            UNKNOWN                               binary                         
gui-64                            UNKNOWN                               binary                         
gui-arm64                         UNKNOWN                               binary                         
gzip                              1.13-1                                deb                            
h11                               0.16.0                                python                         
h2                                2.2.220                               java-archive                   
hessian4                          UNKNOWN                               java-archive                   
hfsx                              UNKNOWN                               java-archive  (+1 duplicate)   
hfsx_dmglib                       UNKNOWN                               java-archive  (+1 duplicate)   
hicolor-icon-theme                0.18-2                                deb                            
hostname                          3.25                                  deb                            
httpclient                        4.5.13                                java-archive                   
httpcore                          1.0.9                                 python                         
httpx                             0.28.1                                python                         
icu4j                             75.1                                  java-archive                   
ide                               1.0.1.202305312008                    java-archive                   
idna                              3.11                                  python                         
iharder-base64                    UNKNOWN                               java-archive  (+1 duplicate)   
importlib-metadata                8.0.0                                 python                         
