NAME                                              VERSION                                                  TYPE                          
@ampproject/remapping                             2.2.0                                                    npm                           
@babel/runtime                                    7.20.13                                                  npm                           
@fastify/busboy                                   3.1.1                                                    npm                           
@gar/promise-retry                                1.0.3                                                    npm                           
@isaacs/fs-minipass                               4.0.1                                                    npm                           
@isaacs/string-locale-compare                     1.1.0                                                    npm                           
@javascript-obfuscator/escodegen                  2.3.0                                                    npm                           
@javascript-obfuscator/escodegen                  2.4.1                                                    npm                           
@javascript-obfuscator/estraverse                 5.4.0                                                    npm                           
@jridgewell/gen-mapping                           0.3.2                                                    npm                           
@jridgewell/resolve-uri                           3.1.0                                                    npm                           
@jridgewell/set-array                             1.1.2                                                    npm                           
@jridgewell/source-map                            0.3.2                                                    npm                           
@jridgewell/sourcemap-codec                       1.4.14                                                   npm                           
@jridgewell/trace-mapping                         0.3.17                                                   npm                           
@npmcli/agent                                     4.0.2                                                    npm                           
@npmcli/arborist                                  9.7.0                                                    npm                           
@npmcli/config                                    10.10.0                                                  npm                           
@npmcli/fs                                        5.0.0                                                    npm                           
@npmcli/git                                       7.0.2                                                    npm                           
@npmcli/installed-package-contents                4.0.0                                                    npm                           
@npmcli/map-workspaces                            5.0.3                                                    npm                           
@npmcli/metavuln-calculator                       9.0.3                                                    npm                           
@npmcli/name-from-folder                          4.0.0                                                    npm                           
@npmcli/node-gyp                                  5.0.0                                                    npm                           
@npmcli/package-json                              7.0.5                                                    npm                           
@npmcli/promise-spawn                             9.0.1                                                    npm                           
@npmcli/query                                     5.0.0                                                    npm                           
@npmcli/redact                                    4.0.0                                                    npm                           
@npmcli/run-script                                10.0.4                                                   npm                           
@sigstore/bundle                                  4.0.0                                                    npm                           
@sigstore/core                                    3.2.1                                                    npm                           
@sigstore/protobuf-specs                          0.5.1                                                    npm                           
@sigstore/sign                                    4.1.1                                                    npm                           
@sigstore/tuf                                     4.0.2                                                    npm                           
@sigstore/verify                                  3.1.1                                                    npm                           
@sindresorhus/is                                  4.6.0                                                    npm                           
@szmarczak/http-timer                             4.0.6                                                    npm                           
@tufjs/canonical-json                             2.0.0                                                    npm                           
@tufjs/models                                     4.1.0                                                    npm                           
@types/abbrev                                     1.1.2                                                    npm                           
@types/are-we-there-yet                           1.1.0                                                    npm                           
@types/async-retry                                1.4.8                                                    npm                           
@types/base64-js                                  1.3.0                                                    npm                           
@types/brace-expansion                            1.1.0                                                    npm                           
@types/cacheable-request                          6.0.2                                                    npm                           
@types/caniuse-lite                               1.0.5                                                    npm                           
@types/clone                                      2.1.2                                                    npm                           
@types/clone-deep                                 4.0.1                                                    npm                           
@types/color-convert                              2.0.0                                                    npm                           
@types/color-name                                 1.1.1                                                    npm                           
@types/commondir                                  1.0.0                                                    npm                           
@types/concat-stream                              2.0.0                                                    npm                           
@types/convert-source-map                         1.5.2                                                    npm                           
@types/defaults                                   1.0.3                                                    npm                           
@types/diff                                       5.0.1                                                    npm                           
@types/esrecurse                                  4.3.1                                                    npm                           
@types/estraverse                                 5.1.1                                                    npm                           
@types/estree                                     1.0.0                                                    npm                           
@types/estree                                     1.0.9                                                    npm                           
@types/esutils                                    2.0.0                                                    npm                           
@types/events                                     3.0.0                                                    npm                           
@types/fancy-log                                  1.3.1                                                    npm                           
@types/fs-readdir-recursive                       1.1.0                                                    npm                           
@types/function-bind                              1.1.10                                                   npm                           
@types/glob                                       8.1.0                                                    npm                           
