NAME                      VERSION                         TYPE                     
Simple Launcher           1.1.0.14                        binary  (+5 duplicates)  
adduser                   3.152                           deb                      
annotated-doc             0.0.4                           python                   
annotated-types           0.7.0                           python                   
anyio                     4.11.0                          python                   
apt                       3.0.3                           deb                      
autocommand               2.2.2                           python                   
azul-bedrock              9.0.15                          python                   
azul-plugin-pdftools      9.0.11+g9ce656c10.d20251122     python                   
azul-runner               9.0.14                          python                   
backports-tarfile         1.2.0                           python                   
base-files                13.8+deb13u2                    deb                      
base-passwd               3.6.7                           deb                      
bash                      5.2.37-2+b5                     deb                      
bitarray                  3.8.0                           python                   
bsdutils                  1:2.41-5                        deb                      
build                     1.3.0                           python                   
ca-certificates           20250419                        deb                      
cachetools                6.2.2                           python                   
cart                      1.2.3                           python                   
certifi                   2025.11.12                      python                   
cffi                      2.0.0                           python                   
charset-normalizer        3.4.4                           python                   
cli                       UNKNOWN                         binary                   
cli-32                    UNKNOWN                         binary                   
cli-64                    UNKNOWN                         binary                   
cli-arm64                 UNKNOWN                         binary                   
coreutils                 9.7-3                           deb                      
cryptography              46.0.3                          python                   
dash                      0.5.12-12                       deb                      
debconf                   1.5.91                          deb                      
debian-archive-keyring    2025.1                          deb                      
debianutils               5.23.2                          deb                      
diffutils                 1:3.10-4                        deb                      
dirmngr                   2.4.7-21+b3                     deb                      
dpkg                      1.22.21                         deb                      
fastapi                   0.121.3                         python                   
file                      1:5.46-5                        deb                      
findutils                 4.10.0-3                        deb                      
fontconfig-config         2.15.0-2.3                      deb                      
fonts-dejavu-core         2.37-8                          deb                      
fonts-dejavu-mono         2.37-8                          deb                      
gcc-14-base               14.2.0-19                       deb                      
gnupg                     2.4.7-21                        deb                      
gnupg-l10n                2.4.7-21                        deb                      
gpg                       2.4.7-21+b3                     deb                      
gpg-agent                 2.4.7-21+b3                     deb                      
gpgconf                   2.4.7-21+b3                     deb                      
gpgsm                     2.4.7-21+b3                     deb                      
grep                      3.11-4                          deb                      
gui                       UNKNOWN                         binary                   
gui-32                    UNKNOWN                         binary                   
gui-64                    UNKNOWN                         binary                   
gui-arm64                 UNKNOWN                         binary                   
gzip                      1.13-1                          deb                      
h11                       0.16.0                          python                   
hostname                  3.25                            deb                      
httpcore                  1.0.9                           python                   
httpx                     0.28.1                          python                   
idna                      3.11                            python                   
importlib-metadata        8.0.0                           python                   
inflect                   7.3.1                           python                   
init-system-helpers       1.69~deb13u1                    deb                      
jaraco-collections        5.1.0                           python                   
jaraco-context            5.3.0                           python                   
jaraco-functools          4.0.1                           python                   
jaraco-text               3.12.1                          python                   
libacl1                   2.3.2-2+b1                      deb                      
libapt-pkg7.0             3.0.3                           deb                      
libassuan9                3.0.2-2                         deb                      
libattr1                  1:2.5.2-3                       deb                      
libaudit-common           1:4.0.2-2                       deb                      
libaudit1                 1:4.0.2-2+b2                    deb                      
libblkid1                 2.41-5                          deb                      
libbrotli1                1.1.0-2+b7                      deb                      
libbsd0                   0.12.2-2                        deb                      
